id;prenom;nom;date_naissance;lieu_naissance;cin;telephone;adresse
1;productize Industria;access Lake Avon;2022-08-29T16:54:51;Home Loan Account In;Club Ranch dep;855-436-7602;../fake-data/blob/hipster.txt
2;capacitor;mobile Buckinghamshi;2022-08-29T21:15:34;Vision-oriented cyan;Diverse Flat;660.894.6565;../fake-data/blob/hipster.txt
3;morph executive bus;reboot;2022-08-29T20:55:32;connecting deposit c;Senior compres;(125) 086-56;../fake-data/blob/hipster.txt
4;grey Devolved Intern;port Refined Cotton ;2022-08-29T03:32:37;toolset;Buckinghamshir;1-780-258-26;../fake-data/blob/hipster.txt
5;users Down-sized dis;system-worthy Sports;2022-08-29T06:33:58;silver transmit Crea;background arr;(460) 418-84;../fake-data/blob/hipster.txt
6;Connecticut Gorgeous;Human Functionality;2022-08-29T07:47:15;Manor Personal Loan ;calculating ha;(219) 310-25;../fake-data/blob/hipster.txt
7;PNG;Human Qatari Rial Go;2022-08-29T01:41:18;Metrics;SteelXXXXX;(224) 340-48;../fake-data/blob/hipster.txt
8;Rubber emulation byp;Radial override mint;2022-08-29T18:51:16;didactic Village;Florida TCP;980-411-3446;../fake-data/blob/hipster.txt
9;Cambridgeshire withd;Frozen Small Soft Pi;2022-08-29T22:08:28;Bedfordshire Berkshi;Handcrafted fi;480-824-2758;../fake-data/blob/hipster.txt
10;Bahamian Dollar;North Dakota Kansas;2022-08-29T13:11:32;bus Handcrafted;payment intera;(152) 155-42;../fake-data/blob/hipster.txt
